"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Average hourly earnings (including overtime) for salaried employees, by industry, annual",14100210,281-0036,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021001",4;15;16;18,"CURRENT - a cube available to the public and that is current",Annual,2001-01-01,2017-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"North American Industry Classification System (NAICS)",18,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,11124,1,,,,
1,"Newfoundland and Labrador",10,2,1,,,
1,"Prince Edward Island",11,3,1,,,
1,"Nova Scotia",12,4,1,,,
1,"New Brunswick",13,5,1,,,
1,Quebec,24,6,1,,,
1,Ontario,35,7,1,,,
1,Manitoba,46,8,1,,,
1,Saskatchewan,47,9,1,,,
1,Alberta,48,10,1,,,
1,"British Columbia",59,11,1,,,
1,Yukon,60,12,1,,,
1,"Northwest Territories",61,14,1,,1;2,
1,Nunavut,62,15,1,,1;2,
2,"Industrial aggregate excluding unclassified businesses",11-91N,2,,,5;6,
2,"Goods producing industries",11-33N,3,2,,7,
2,"Forestry, logging and support",11N,4,3,,8,
2,"Forestry and logging",113,5,4,,,
2,Logging,1133,8,5,,,
2,"Support activities for forestry",1153,9,4,,,
2,"Mining, quarrying, and oil and gas extraction",21,10,3,,,
2,"Oil and gas extraction","211,2111",11,10,,,
2,"Mining and quarrying (except oil and gas)",212,12,10,,,
2,"Coal mining",2121,13,12,,,
2,"Metal ore mining",2122,14,12,,,
2,"Non-metallic mineral mining and quarrying",2123,15,12,,,
2,"Support activities for mining, and oil and gas extraction","213,2131",16,10,,,
2,Utilities,"22,221",17,3,,,
2,"Electric power generation, transmission and distribution",2211,18,17,,,
2,"Natural gas distribution",2212,19,17,,,
2,Construction,23,21,3,,,
2,Manufacturing,31-33,34,3,,,
2,"Non-durable goods",311N,35,34,,9,
2,"Food manufacturing",311,36,35,,,
2,"Animal food manufacturing",3111,37,36,,,
2,"Grain and oilseed milling",3112,38,36,,,
2,"Fruit and vegetable preserving and specialty food manufacturing",3114,40,36,,,
2,"Dairy product manufacturing",3115,41,36,,,
2,"Meat product manufacturing",3116,42,36,,,
2,"Seafood product preparation and packaging",3117,43,36,,,
